site,plot,cover,soil1,soil2,canopy1,canopy2,SBU,SBD,SRU,SRD,elevation
RP-2-1,A,Closed,2.4,3.2,14,13,,,,,830
RP-2-1,B,Closed,1.1,1.7,22,15,,,,,830
RP-2-1,C,Closed,4.8,1,25,9,,,,,830
RP-2-2,A,Open,12.9,9.4,65,53,,,,,830
RP-2-2,B,Open,6.6,7.8,46,43,,,,,830
RP-2-2,C,Open,9.8,7.7,54,71,,,,,830
RP-3B-1,A,Closed,3.9,2.5,16,10,246,63,21.7,-24.1,930
RP-3B-1,B,Closed,2.2,9.6,18,31,246,63,21.7,-24.1,930
RP-3B-1,C,Closed,8.2,11,26,15,246,63,21.7,-24.1,930
RP-3B-2,A,Open,1.9,4.4,51,35,247,61,21.8,-23.8,930
RP-3B-2,B,Open,6.2,2.8,37,53,247,61,21.8,-23.8,930
RP-3B-2,C,Open,2.6,2.8,45,45,247,61,21.8,-23.8,930
RP-4-1,A,Closed,6.4,8.8,18,19,,,,,1020
RP-4-1,B,Closed,1.5,2.6,17,6,,,,,1020
RP-4-1,C,Closed,1.4,9.7,5,21,,,,,1020
RP-4-2,A,Open,6.6,1.7,37,18,,,,,1020
RP-4-2,B,Open,7.2,4.9,17,26,,,,,1020
RP-4-2,C,Open,7.5,5.6,30,22,,,,,1020
RP-5-1,A,Closed,1.9,7.2,9,24,,,,,1120
RP-5-1,B,Closed,8.3,6,17,39,,,,,1120
RP-5-1,C,Closed,11.4,2,9,18,,,,,1120
RP-5-2,A,Open,1.2,6.6,72,45,,,,,1120
RP-5-2,B,Open,9.8,8,49,34,,,,,1120
RP-5-2,C,Open,1.5,0.5,28,71,,,,,1120
RP-6-1,A,Closed,7.7,8.9,11,14,,,,,1240
RP-6-1,B,Closed,7.4,7.1,16,10,,,,,1240
RP-6-1,C,Closed,6,11.6,19,22,,,,,1240
RP-6-2,A,Open,5.6,3.9,89,21,,,,,1240
RP-6-2,B,Open,2.4,3.6,29,72,,,,,1240
RP-6-2,C,Open,6,3.1,84,30,,,,,1240
RP-7-1,A,Closed,4.9,6,20,6,,,,,1400
RP-7-1,B,Closed,6.5,3.1,6,11,,,,,1400
RP-7-1,C,Closed,2.7,3.2,19,9,,,,,1400
RP-7-2,A,Open,9.4,9.3,74,96,,,,,1400
RP-7-2,B,Open,5.2,9.9,32,95,,,,,1400
RP-7-2,C,Open,10.3,6.1,87,96,,,,,1400
RPN-2-1,A,Closed,18.3,27.1,40,37,242,45,3.1,2.8,875
RPN-2-1,B,Closed,14,12.2,39,18,242,45,3.1,2.8,875
RPN-2-1,C,Closed,17.7,15.9,22,39,242,45,3.1,2.8,875
RPN-2-2,A,Open,26.7,12.9,54,57,233,51,-5.8,-3.1,875
RPN-2-2,B,Open,6.6,NA,91,77,233,51,-5.8,-3.1,875
RPN-2-2,C,Open,21.9,16.5,84,74,233,51,-5.8,-3.1,875
RPN-3-1,A,Closed,10.7,16.4,12,18,240,51,10.7,-5.4,967
RPN-3-1,B,Closed,44.1,46.7,11,14,240,51,10.7,-5.4,967
RPN-3-1,C,Closed,47.2,56.6,15,8,240,51,10.7,-5.4,967
RPN-3-2,A,Open,11.3,4.5,48,34,232,51,37.3,-29.8,967
RPN-3-2,B,Open,6.5,9.3,42,25,232,51,37.3,-29.8,967
RPN-3-2,C,Open,9,5.4,70,21,232,51,37.3,-29.8,967
RPN-4-1,A,Closed,18.4,13.1,31,42,232,53,0.2,-5.8,1015
RPN-4-1,B,Closed,17.3,25.2,33,45,232,53,0.2,-5.8,1015
RPN-4-1,C,Closed,17.9,13.1,31,31,232,53,0.2,-5.8,1015
RPN-4-2,A,Open,12.3,22.7,87,75,253,50,2.1,-6.1,1015
RPN-4-2,B,Open,15.5,13.3,88,76,253,50,2.1,-6.1,1015
RPN-4-2,C,Open,23.8,26.3,95,72,253,50,2.1,-6.1,1015
RPN-5-1,A,Closed,13.8,35.5,41,37,250,232,-6,5.1,1116
RPN-5-1,B,Closed,25.2,4.6,40,34,250,232,-6,5.1,1116
RPN-5-1,C,Closed,22.5,23.5,28,44,250,232,-6,5.1,1116
RPN-5-2,A,Open,0.8,8.3,62,60,53,242,-6.5,3,1116
RPN-5-2,B,Open,16.8,17,35,82,53,242,-6.5,3,1116
RPN-5-2,C,Open,21.6,24.3,30,87,53,242,-6.5,3,1116
RPN-6-1,A,Closed,3.1,14.3,29,14,270,76,-20.2,22.4,1250
RPN-6-1,B,Closed,6.4,6.7,26,13,270,76,-20.2,22.4,1250
RPN-6-1,C,Closed,8.9,9.7,25,39,270,76,-20.2,22.4,1250
RPN-6-2,A,Open,9.4,9.2,88,83,90,270,23.2,-21.4,1250
RPN-6-2,B,Open,11.4,8.3,86,85,90,270,23.2,-21.4,1250
RPN-6-2,C,Open,11.4,3.1,74,63,90,270,23.2,-21.4,1250
RPN-7-1,A,Closed,8.2,16.3,26,30,0,188,4,-4.4,1375
RPN-7-1,B,Closed,20.8,15.1,38,15,0,188,4,-4.4,1375
RPN-7-1,C,Closed,22.7,29.7,24,44,0,188,4,-4.4,1375
RPN-7-2,A,Open,24.5,11.3,63,77,3,109,12.2,-8.8,1375
RPN-7-2,B,Open,15.5,17.5,80,59,3,109,12.2,-8.8,1375
RPN-7-2,C,Open,15.5,13.8,79,73,3,109,12.2,-8.8,1375
